"mate"	"(Moby_Dick.txt, 52)"
"us"	"(Moby_Dick.txt, 81), (Adventures_of_Huckleberry_Finn.txt, 63), (Hamlet.txt, 2)"
"vessel"	"(Moby_Dick.txt, 28)"
"view"	"(Moby_Dick.txt, 22), (Hamlet.txt, 1)"
"voyage"	"(Moby_Dick.txt, 55), (Hamlet.txt, 2)"
"vs"	"(Hamlet.txt, 27)"
"wake"	"(Moby_Dick.txt, 25), (Adventures_of_Huckleberry_Finn.txt, 2)"
"warn"	"(Adventures_of_Huckleberry_Finn.txt, 295)"
"was"	"(Adventures_of_Huckleberry_Finn.txt, 122), (Moby_Dick.txt, 62), (Hamlet.txt, 9)"
"wasn"	"(Adventures_of_Huckleberry_Finn.txt, 21), (Moby_Dick.txt, 5), (Hamlet.txt, 1)"
"watch"	"(Moby_Dick.txt, 33), (Adventures_of_Huckleberry_Finn.txt, 8), (Hamlet.txt, 6)"
"water"	"(Moby_Dick.txt, 111), (Adventures_of_Huckleberry_Finn.txt, 41), (Hamlet.txt, 2)"
"waters"	"(Moby_Dick.txt, 34)"
"waves"	"(Moby_Dick.txt, 21), (Adventures_of_Huckleberry_Finn.txt, 1)"
"way"	"(Moby_Dick.txt, 116), (Adventures_of_Huckleberry_Finn.txt, 109), (Hamlet.txt, 4)"
"we"	"(Adventures_of_Huckleberry_Finn.txt, 122), (Moby_Dick.txt, 23), (Hamlet.txt, 2)"
"well"	"(Adventures_of_Huckleberry_Finn.txt, 361), (Moby_Dick.txt, 88), (Hamlet.txt, 33)"
"were"	"(Moby_Dick.txt, 32)"
"whale"	"(Moby_Dick.txt, 695), (Hamlet.txt, 1)"
"whaleman"	"(Moby_Dick.txt, 28)"
"whalemen"	"(Moby_Dick.txt, 31)"
"whales"	"(Moby_Dick.txt, 119)"
"whaling"	"(Moby_Dick.txt, 41)"
"what"	"(Moby_Dick.txt, 77), (Adventures_of_Huckleberry_Finn.txt, 73), (Hamlet.txt, 22)"
"when"	"(Moby_Dick.txt, 44), (Adventures_of_Huckleberry_Finn.txt, 5)"
"where"	"(Moby_Dick.txt, 26), (Adventures_of_Huckleberry_Finn.txt, 13), (Hamlet.txt, 5)"
"which"	"(Moby_Dick.txt, 78), (Hamlet.txt, 5), (Adventures_of_Huckleberry_Finn.txt, 5)"
"while"	"(Adventures_of_Huckleberry_Finn.txt, 22), (Moby_Dick.txt, 20), (Hamlet.txt, 8)"
"white"	"(Moby_Dick.txt, 23), (Adventures_of_Huckleberry_Finn.txt, 9)"
"who"	"(Moby_Dick.txt, 77), (Adventures_of_Huckleberry_Finn.txt, 23), (Hamlet.txt, 9)"
